SalesOrderID	CustomerID	SalesPersonID	TerritoryID	CurrencyRateID	SubTotal	TaxAmt	Freight	TotalDue	ShipToAddressLine1	ShipToAddressLine2	ShipToCity	ShipToStateProvinceCode	ShipToStateProvince	ShipToPostalCode	IsOnlyStateProvinceFlag	ShipToCountryRegion
43688	29718	275	2		12718.0844	1222.8838	382.1512	14323.1194	42522 Northrupp		Fort Wayne	IN	Indiana	46807	False	United States
43689	29646	277	4		33997.3702	3271.4942	1022.3419	38291.2063	220 Mercy Drive		Garland	TX	Texas	75040	False	United States
43690	29533	275	3		1297.5901	124.2027	38.8133	1460.6061	Horizon Outlet Center		Holland	MI	Michigan	49423	False	United States
43691	29570	277	4		874.794	83.9802	26.2438	985.018	9903 Highway 6 South		Houston	TX	Texas	77003	False	United States
43692	29992	281	4		38510.8973	3696.3979	1155.1244	43362.4196	9952 E. Lohman Ave.		Las Cruces	NM	New Mexico	88001	False	United States
43693	29491	275	5		20541.4072	1969.5564	615.4864	23126.45	Leesburg Premium Outlet Centre		Leesburg	VA	Virginia	20176	False	United States
43694	29549	279	5		20645.634	1978.3257	618.2268	23242.1865	78025 E. Mercy Island Cswy		Merritt Island	FL	Florida	32952	False	United States
43695	29958	279	5		39373.781	3787.4632	1183.5823	44344.8265	100 Fifth Drive		Millington	TN	Tennessee	38054	False	United States
43696	29849	279	5		419.4589	40.2681	12.5838	472.3108	"Dadeland Mall, Space 25090"		Miami	FL	Florida	33127	False	United States
43697	21768		6	4	3578.27	286.2616	89.4568	3953.9884	601 Asilomar Dr.		Metchosin	BC	British Columbia	V9	False	Canada
43698	28389		7	8	3399.99	271.9992	84.9998	3756.989	"14, avenue du Port"		Pantin	93	Seine Saint Denis	93500	False	France
43699	25863		1		3399.99	271.9992	84.9998	3756.989	4193 E. 28th Street		Lebanon	OR	Oregon	97355	False	United States
43700	14501		4		699.0982	55.9279	17.4775	772.5036	249 Alexander Pl.		Beverly Hills	CA	California	90210	False	United States
43701	11003		9	2	3399.99	271.9992	84.9998	3756.989	1825 Village Pl.		North Ryde	NSW	New South Wales	2113	False	Australia
43702	27645		4		3578.27	286.2616	89.4568	3953.9884	7626 Sinclair Avenue		Coronado	CA	California	92118	False	United States
43703	16624		9	15	3578.27	286.2616	89.4568	3953.9884	3541 Corte Poquito		Perth	SA	South Australia	6006	False	Australia
43704	11005		9	15	3374.99	269.9992	84.3748	3729.364	7305 Humphrey Drive		East Brisbane	QLD	Queensland	4169	False	Australia
43705	11011		9	15	3399.99	271.9992	84.9998	3756.989	1224 Shoenic		East Brisbane	QLD	Queensland	4169	False	Australia
43706	27621		4		3578.27	286.2616	89.4568	3953.9884	2226 Cleveland Avenue		Santa Monica	CA	California	90401	False	United States
43707	27616		4		3578.27	286.2616	89.4568	3953.9884	3455 Southbrook Dr.		Lemon Grove	CA	California	91945	False	United States
43708	20042		10	35	699.0982	55.9279	17.4775	772.5036	2732 Frisbie Ct.		Liverpool	ENG	England	L4 4HB	True	United Kingdom
43709	16351		9	28	3578.27	286.2616	89.4568	3953.9884	7418 Jumping St.		Rockhampton	QLD	Queensland	4700	False	Australia
43710	16517		9	28	3578.27	286.2616	89.4568	3953.9884	3196 Peachwillow		Wollongong	NSW	New South Wales	2500	False	Australia
43711	27606		1		3578.27	286.2616	89.4568	3953.9884	1627 Ashford Court		Milwaukie	OR	Oregon	97222	False	United States
43712	13513		8	45	3578.27	286.2616	89.4568	3953.9884	Am Grossen Dern 4284		Werne	NW	Nordrhein-Westfalen	59368	False	Germany
43713	27601		4		3578.27	286.2616	89.4568	3953.9884	1016 Park Avenue		Burbank	CA	California	91502	False	United States
43714	13591		10	61	3578.27	286.2616	89.4568	3953.9884	2168 Reading Drive		York	ENG	England	Y03 4TN	True	United Kingdom
43715	16483		9	54	3578.27	286.2616	89.4568	3953.9884	9276 Blackwood Drive		Melbourne	VIC	Victoria	3000	False	Australia
43716	16529		9	54	3578.27	286.2616	89.4568	3953.9884	3571 N St.		Goulburn	NSW	New South Wales	2580	False	Australia
43717	25249		9	54	699.0982	55.9279	17.4775	772.5036	2904 San Simeon Ct.		Goulburn	NSW	New South Wales	2580	False	Australia
43718	27668		1		3578.27	286.2616	89.4568	3953.9884	1299 Bundros Court		Kirkland	WA	Washington	98033	False	United States
43719	27612		4		3578.27	286.2616	89.4568	3953.9884	8521 C Mt. Hood Circle		Berkeley	CA	California	94704	False	United States
43720	13264		8	71	3578.27	286.2616	89.4568	3953.9884	Heiderplatz 948		Ingolstadt	BY	Bayern	85049	False	Germany
43721	13590		10	74	3578.27	286.2616	89.4568	3953.9884	6553 San Miguel Rd.		York	ENG	England	Y024 1GF	True	United Kingdom
43722	13581		10	87	3578.27	286.2616	89.4568	3953.9884	3316 Balhan Dr		Esher-Molesey	ENG	England	EM15	True	United Kingdom
43723	14520		1		699.0982	55.9279	17.4775	772.5036	3981 Bell Drive		Bremerton	WA	Washington	98312	False	United States
43724	16520		9	80	3578.27	286.2616	89.4568	3953.9884	3511 B Eagle Peak Rd.		Bendigo	VIC	Victoria	3550	False	Australia
43725	13258		8	97	3578.27	286.2616	89.4568	3953.9884	Bundesallee 4		Kassel	HE	Hessen	34117	False	Germany
43726	14560		4		699.0982	55.9279	17.4775	772.5036	410 Cardinet Drive		Bellflower	CA	California	90706	False	United States
43727	16607		9	93	3578.27	286.2616	89.4568	3953.9884	8200 Showtime Court		Brisbane	QLD	Queensland	4000	False	Australia
43728	27666		4		3578.27	286.2616	89.4568	3953.9884	5975 Grove Way		Fremont	CA	California	94536	False	United States
43729	11238		10	113	3399.99	271.9992	84.9998	3756.989	1119 Elderwood Dr.	#3	Birmingham	ENG	England	B29 6SL	True	United Kingdom
43730	25861		4		3399.99	271.9992	84.9998	3756.989	5854 Lombardy Lane		Woodland Hills	CA	California	91364	False	United States
43731	16629		9	106	3578.27	286.2616	89.4568	3953.9884	2391 St. Peter Court		Matraville	NSW	New South Wales	2036	False	Australia
43732	11025		9	106	3374.99	269.9992	84.3748	3729.364	2596 Franklin Canyon Road		Hawthorne	QLD	Queensland	4171	False	Australia
43733	27577		1		3578.27	286.2616	89.4568	3953.9884	3488 Cook St.		Port Orchard	WA	Washington	98366	False	United States
43734	27604		1		3578.27	286.2616	89.4568	3953.9884	5005 Appalachian Dr.		Port Orchard	WA	Washington	98366	False	United States
43735	16522		9	119	3578.27	286.2616	89.4568	3953.9884	2190 Rock Creek Way		Caloundra	QLD	Queensland	4551	False	Australia
43736	11002		9	119	3399.99	271.9992	84.9998	3756.989	5844 Linden Land		Hobart	TAS	Tasmania	7001	False	Australia
43737	13261		8	136	3578.27	286.2616	89.4568	3953.9884	Auf dem Ufer 764		Paderborn	NW	Nordrhein-Westfalen	33098	False	Germany
43738	11606		7	138	3578.27	286.2616	89.4568	3953.9884	"2, rue de la Comédie"		Morangis	91	Essonne	91420	False	France
43739	13563		10	139	3578.27	286.2616	89.4568	3953.9884	3141 Jalalon Place		Stoke-on-Trent	ENG	England	AS23	True	United Kingdom
43740	16527		9	132	3578.27	286.2616	89.4568	3953.9884	5455 Grenola Dr		Milsons Point	NSW	New South Wales	2061	False	Australia
43741	27671		1		3578.27	286.2616	89.4568	3953.9884	9963 Pacific		Ballard	WA	Washington	98107	False	United States
43742	13576		10	152	3578.27	286.2616	89.4568	3953.9884	2697 Mt. Everest Ct.		London	ENG	England	W1X3SE	True	United Kingdom
43743	11007		9	145	3399.99	271.9992	84.9998	3756.989	942 Brook Street		Warrnambool	VIC	Victoria	3280	False	Australia
43744	16631		9	145	3578.27	286.2616	89.4568	3953.9884	6071 Mi Casa Court		Rockhampton	QLD	Queensland	4700	False	Australia
43745	16514		9	158	3578.27	286.2616	89.4568	3953.9884	251 Ravenwood Dr.		Malabar	NSW	New South Wales	2036	False	Australia
43746	16616		9	158	3578.27	286.2616	89.4568	3953.9884	6684 Galloway Drive		Perth	SA	South Australia	6006	False	Australia
43747	27623		4		3578.27	286.2616	89.4568	3953.9884	6059 Dutch Slough Rd.		Lincoln Acres	CA	California	91950	False	United States
43748	27625		1		3578.27	286.2616	89.4568	3953.9884	3407 Oak Brook Place		Lake Oswego	OR	Oregon	97034	False	United States
43749	27636		1		3578.27	286.2616	89.4568	3953.9884	8650 Branch Street		Issaquah	WA	Washington	98027	False	United States
43750	11591		7	177	3578.27	286.2616	89.4568	3953.9884	"67, avenue de l´ Union Centrale"		Versailles	78	Yveline	78000	False	France
43751	11592		7	177	3578.27	286.2616	89.4568	3953.9884	"68, impasse Notre-Dame"		Paris	75	Seine (Paris)	75009	False	France
43752	13265		8	175	3578.27	286.2616	89.4568	3953.9884	Hellweg 4754		Paderborn	NW	Nordrhein-Westfalen	33098	False	Germany
43753	16482		9	171	3578.27	286.2616	89.4568	3953.9884	6992 Mt. View Drive		Bendigo	VIC	Victoria	3550	False	Australia
43754	27617		1		3578.27	286.2616	89.4568	3953.9884	9191 Camelback Ct.		Olympia	WA	Washington	98501	False	United States
43755	27670		4		3578.27	286.2616	89.4568	3953.9884	2597 Sand Pointe Lane		Novato	CA	California	94947	False	United States
43756	19941		10	191	699.0982	55.9279	17.4775	772.5036	2023 Flame Drive		London	ENG	England	W1X3SE	True	United Kingdom
43757	11017		9	184	3374.99	269.9992	84.3748	3729.364	7330 Saddlehill Lane		Sunbury	VIC	Victoria	3429	False	Australia
43758	27646		4		3578.27	286.2616	89.4568	3953.9884	7182 Benedict Ct		Imperial Beach	CA	California	91932	False	United States
43759	13257		8	201	3578.27	286.2616	89.4568	3953.9884	Auf Der Steige 123		Hof	BY	Bayern	95010	False	Germany
43760	16352		9	197	3578.27	286.2616	89.4568	3953.9884	3549 Peachwillow St.		Goulburn	NSW	New South Wales	2580	False	Australia
43761	16493		9	197	3578.27	286.2616	89.4568	3953.9884	6908 Laguna Circle		Seaford	VIC	Victoria	3198	False	Australia
43762	27578		4		3578.27	286.2616	89.4568	3953.9884	6681 Golf Club Rd.		Lakewood	CA	California	90712	False	United States
43763	16525		9	210	3578.27	286.2616	89.4568	3953.9884	2987 Wiget Lane		Goulburn	NSW	New South Wales	2580	False	Australia
43764	16612		9	210	3578.27	286.2616	89.4568	3953.9884	1956 Pine Drive		Matraville	NSW	New South Wales	2036	False	Australia
43765	11010		9	210	3399.99	271.9992	84.9998	3756.989	7800 Corrinne Court		East Brisbane	QLD	Queensland	4169	False	Australia
43766	16518		9	223	3578.27	286.2616	89.4568	3953.9884	6119 Grasswood Circle		Cranbourne	VIC	Victoria	3977	False	Australia
43767	11001		9	223	3374.99	269.9992	84.3748	3729.364	2243 W St.		Seaford	VIC	Victoria	3198	False	Australia
43768	27649		1		3578.27	286.2616	89.4568	3953.9884	8546 Wilson Court		Seattle	WA	Washington	98104	False	United States
43769	21659		6	238	3578.27	286.2616	89.4568	3953.9884	1661 Beauty St.		Haney	BC	British Columbia	V2W 1W2	False	Canada
43770	27614		1		3578.27	286.2616	89.4568	3953.9884	4224 Almond Avve		Bellingham	WA	Washington	98225	False	United States
43771	14559		4		699.0982	55.9279	17.4775	772.5036	5456 Old Oak Drive		Long Beach	CA	California	90802	False	United States
43772	16524		9	236	3578.27	286.2616	89.4568	3953.9884	5484 Viking Dr		Hawthorne	QLD	Queensland	4171	False	Australia
43773	16526		9	236	3578.27	286.2616	89.4568	3953.9884	5972 Donegal Court		Sunbury	VIC	Victoria	3429	False	Australia
43774	16348		9	236	3578.27	286.2616	89.4568	3953.9884	5246 Premier Place		Goulburn	NSW	New South Wales	2580	False	Australia
43775	11027		9	236	3399.99	271.9992	84.9998	3756.989	213 Valencia Place		Warrnambool	VIC	Victoria	3280	False	Australia
43776	13260		8	253	3578.27	286.2616	89.4568	3953.9884	Helsenbergbogen 6		Neunkirchen	SL	Saarland	66578	False	Germany
43777	16515		9	249	3578.27	286.2616	89.4568	3953.9884	458 Union St		Hobart	TAS	Tasmania	7001	False	Australia
43778	11018		9	249	3399.99	271.9992	84.9998	3756.989	244 Rivewview		Bendigo	VIC	Victoria	3550	False	Australia
43779	25252		9	249	699.0982	55.9279	17.4775	772.5036	3905 Harvard Drive		Coffs Harbour	NSW	New South Wales	2450	False	Australia
43780	11599		7	268	3578.27	286.2616	89.4568	3953.9884	Attaché de Presse		Les Ulis	91	Essonne	91940	False	France
43781	16495		9	262	3578.27	286.2616	89.4568	3953.9884	3207 Mario Way		Warrnambool	VIC	Victoria	3280	False	Australia
43782	16516		9	262	3578.27	286.2616	89.4568	3953.9884	2551 Damascus Loop		Townsville	QLD	Queensland	4810	False	Australia
43783	16620		9	262	3578.27	286.2616	89.4568	3953.9884	9080 San Carlos Avenue		Sydney	NSW	New South Wales	1002	False	Australia
43784	27667		4		3578.27	286.2616	89.4568	3953.9884	6670 Del Rey St		Daly City	CA	California	94015	False	United States
43785	11601		7	281	3578.27	286.2616	89.4568	3953.9884	"335, rue Basse-du-Rocher"		Versailles	78	Yveline	78000	False	France
43786	11607		7	281	3578.27	286.2616	89.4568	3953.9884	"610, rue des Rosiers"		Paris	75	Seine (Paris)	75016	False	France
43787	29385		8	279	3399.99	271.9992	84.9998	3756.989	Werftstr 566		Berlin	HE	Hessen	13441	False	Germany
43788	11239		10	282	3374.99	269.9992	84.3748	3729.364	8154 Pheasant Circle		London	ENG	England	SW1P 2NU	True	United Kingdom
43789	25865		1		3374.99	269.9992	84.3748	3729.364	6654 Shelly Dr.		Kirkland	WA	Washington	98033	False	United States
43790	25857		1		3399.99	271.9992	84.9998	3756.989	4442 G Street		W. Linn	OR	Oregon	97068	False	United States
43791	16484		9	275	3578.27	286.2616	89.4568	3953.9884	3193 Mehaffey Way		Springwood	NSW	New South Wales	2777	False	Australia
43792	16623		9	275	3578.27	286.2616	89.4568	3953.9884	4976 Singingwood Court		Port Macquarie	NSW	New South Wales	2444	False	Australia
43793	11000		9	275	3399.99	271.9992	84.9998	3756.989	3761 N. 14th St		Rockhampton	QLD	Queensland	4700	False	Australia
43794	11029		9	275	3399.99	271.9992	84.9998	3756.989	6385 Mark Twain		Bendigo	VIC	Victoria	3550	False	Australia
43795	27615		4		3578.27	286.2616	89.4568	3953.9884	9830 Corcoran Road		La Jolla	CA	California	92806	False	United States
43796	17956		7	294	699.0982	55.9279	17.4775	772.5036	"92, rue des Pyrenees"		Metz	57	Moselle	57000	False	France
43797	16345		9	288	3578.27	286.2616	89.4568	3953.9884	1725 La Salle Ave.		Wollongong	NSW	New South Wales	2500	False	Australia
43798	16521		9	288	3578.27	286.2616	89.4568	3953.9884	8534 Willow Pass Road		Hawthorne	QLD	Queensland	4171	False	Australia
43799	16636		9	288	3578.27	286.2616	89.4568	3953.9884	8022 Camino Verde		South Melbourne	VIC	Victoria	3205	False	Australia
43800	21710		6	303	3578.27	286.2616	89.4568	3953.9884	2332 Treat Blvd		Royal Oak	BC	British Columbia	V8X	False	Canada
43801	13583		10	308	3578.27	286.2616	89.4568	3953.9884	3857 Mt. Etna		Gateshead	ENG	England	GA10	True	United Kingdom
43802	11593		7	307	3578.27	286.2616	89.4568	3953.9884	"121, rue de Cambrai"		Orleans	45	Loiret	45000	False	France
43803	21741		6	316	3578.27	286.2616	89.4568	3953.9884	1133 Fillet Ave		N. Vancouver	BC	British Columbia	V7L 4J4	False	Canada
43804	13585		10	321	3578.27	286.2616	89.4568	3953.9884	7650 Central Blvd		Leeds	ENG	England	LE18	True	United Kingdom
43805	14510		1		699.0982	55.9279	17.4775	772.5036	8693 Balhan Dr.		Everett	WA	Washington	98201	False	United States
43806	16523		9	314	3578.27	286.2616	89.4568	3953.9884	6513 Beauer Lane		Hervey Bay	QLD	Queensland	4655	False	Australia
43807	11611		7	333	3578.27	286.2616	89.4568	3953.9884	"65, rue Faubourg St Antoine"		Orleans	45	Loiret	45000	False	France
43808	13259		8	331	3578.27	286.2616	89.4568	3953.9884	Celler Weg 5040	Verkaufsabteilung	Münster	SL	Saarland	48001	False	Germany
43809	16350		9	327	3578.27	286.2616	89.4568	3953.9884	5891 Quail Court	Unit C	Sydney	NSW	New South Wales	1002	False	Australia
43810	11004		9	327	3399.99	271.9992	84.9998	3756.989	7553 Harness Circle		Wollongong	NSW	New South Wales	2500	False	Australia
43811	11026		9	327	3399.99	271.9992	84.9998	3756.989	8211 Leeds Ct.		Goulburn	NSW	New South Wales	2580	False	Australia
43812	27662		4		3578.27	286.2616	89.4568	3953.9884	5149 Thistle Court		Burbank	CA	California	91502	False	United States
43813	28390		7	346	3374.99	269.9992	84.3748	3729.364	"180, boulevard Beau Marchais"		Colombes	92	Hauts de Seine	92700	False	France
43814	25866		1		3374.99	269.9992	84.3748	3729.364	7917 Snowberry Court		W. Linn	OR	Oregon	97068	False	United States
43815	16494		9	340	3578.27	286.2616	89.4568	3953.9884	1915 Standing Grove Dr.		Warrnambool	VIC	Victoria	3280	False	Australia
43816	16496		9	340	3578.27	286.2616	89.4568	3953.9884	6345 Katharyn Drive		Darlinghurst	NSW	New South Wales	2010	False	Australia
43817	16519		9	340	3578.27	286.2616	89.4568	3953.9884	4409 North Ranchford		Hervey Bay	QLD	Queensland	4655	False	Australia
43818	16528		9	340	3578.27	286.2616	89.4568	3953.9884	2020 Bell Dr.		Melton	VIC	Victoria	3337	False	Australia
43819	11006		9	340	3399.99	271.9992	84.9998	3756.989	2612 Berry Dr		Matraville	NSW	New South Wales	2036	False	Australia
43820	27651		4		3578.27	286.2616	89.4568	3953.9884	4487 Ahwanee Lane		Concord	CA	California	94519	False	United States
43821	27663		4		3578.27	286.2616	89.4568	3953.9884	6767 Stinson		Santa Cruz	CA	California	95062	False	United States
43822	27669		4		3578.27	286.2616	89.4568	3953.9884	9602 C St.		Coronado	CA	California	92118	False	United States
43823	19942		10	360	699.0982	55.9279	17.4775	772.5036	6957 Olivewood Ct.		Oxon	ENG	England	OX16 8RS	True	United Kingdom
43824	14558		1		699.0982	55.9279	17.4775	772.5036	8844 Bel Aire Drive		Yakima	WA	Washington	98901	False	United States
43825	16349		9	353	3578.27	286.2616	89.4568	3953.9884	2702 Alan Dr.		Bendigo	VIC	Victoria	3550	False	Australia
43826	11008		9	353	3374.99	269.9992	84.3748	3729.364	624 Peabody Road		Bendigo	VIC	Victoria	3550	False	Australia
43827	25250		9	353	699.0982	55.9279	17.4775	772.5036	2131 Minert Rd.		Gold Coast	QLD	Queensland	4217	False	Australia
43828	27605		1		3578.27	286.2616	89.4568	3953.9884	5656 Via Delaware		Sedro Woolley	WA	Washington	98284	False	United States
43829	27611		4		3578.27	286.2616	89.4568	3953.9884	6177 Golf Club Road		El Cajon	CA	California	92020	False	United States
43830	16347		9	366	3578.27	286.2616	89.4568	3953.9884	8335 Elm Rd.		Rhodes	NSW	New South Wales	2138	False	Australia
43831	11028		9	366	3374.99	269.9992	84.3748	3729.364	9111 Rose Ann Ave		St. Leonards	NSW	New South Wales	2065	False	Australia
43832	13584		10	373	3578.27	286.2616	89.4568	3953.9884	2181 Brownstone Rd.		Runcorn	ENG	England	TY31	True	United Kingdom
43833	21727		6	381	3578.27	286.2616	89.4568	3953.9884	4082 Shell Ct		Shawnee	BC	British Columbia	V9B 2C3	False	Canada
43834	28393		7	385	3374.99	269.9992	84.3748	3729.364	"802, avenue du Port"		Courbevoie	92	Hauts de Seine	92400	False	France
43835	19802		6	381	3374.99	269.9992	84.3748	3729.364	546 Leonard Ct		Newton	BC	British Columbia	V2M1N7	False	Canada
43836	26620		6	381	699.0982	55.9279	17.4775	772.5036	7355 Macarthur Avenue		Shawnee	BC	British Columbia	V8Z 4N5	False	Canada
43837	11009		9	379	3374.99	269.9992	84.3748	3729.364	3839 Northgate Road		Hervey Bay	QLD	Queensland	4655	False	Australia
43838	27641		4		3578.27	286.2616	89.4568	3953.9884	3740 Azalea Avenue		El Cajon	CA	California	92020	False	United States
43839	27673		1		3578.27	286.2616	89.4568	3953.9884	4943 Tupelo Drive		Bremerton	WA	Washington	98312	False	United States
43840	17957		7	398	699.0982	55.9279	17.4775	772.5036	"11, rue du Départ"		Sèvres	92	Hauts de Seine	92310	False	France
43841	13406		8	396	3578.27	286.2616	89.4568	3953.9884	Auf der Krone 4775		Münster	SL	Saarland	48001	False	Germany
43842	16630		9	392	3578.27	286.2616	89.4568	3953.9884	7964 Gentrytown Drive		Sunbury	VIC	Victoria	3429	False	Australia
43843	29955	275	3		32940.1556	3174.1988	991.9371	37106.2915	855 East Main Avenue		Zeeland	MI	Michigan	49464	False	United States
43844	29620	282	6	407	20249.94	1943.9942	607.4982	22801.4324	P.O. Box 44000		Winnipeg	MB	Manitoba	R3	False	Canada
43845	29888	279	5		8580.0739	823.6669	257.3959	9661.1367	3990 Silas Creek Parkway		Winston-Salem	NC	North Carolina	27104	False	United States
43846	29548	278	6	407	919.5201	90.6637	28.3324	1038.5162	25537 Hillside Avenue		Victoria	BC	British Columbia	V8V	False	Canada
43847	29539	278	6	407	908.8209	86.9292	27.1654	1022.9155	25 First Canadian Place		Toronto	ON	Ontario	M4B 1V5	False	Canada
43848	29717	283	1		18269.946	1753.9148	548.0984	20571.9592	994 Sw Cherry Park Rd		Troutdale	OR	Oregon	97060	False	United States
43849	29818	274	1		20544.7015	1969.9765	615.6177	23130.2957	9927 N. Main St.		Tooele	UT	Utah	84074	False	United States
43850	29892	282	6	407	10183.7952	982.9377	307.168	11473.9009	258 King Street East		Toronto	ON	Ontario	M4B 1V7	False	Canada
43851	29509	275	2		6783.7679	651.4975	203.593	7638.8584	Lake Region Factory Outlet		Tilton	NH	New Hampshire	03276	False	United States
43852	29855	282	6	407	2024.994	194.3994	60.7498	2280.1432	"6th Floor, 25st Canadian Place"		Toronto	ON	Ontario	M4B 1V5	False	Canada
43853	29813	282	6	407	26354.922	2530.0725	790.6477	29675.6422	52560 Free Street		Toronto	ON	Ontario	M4B 1V7	False	Canada
43854	29988	282	6	407	1749.588	167.9604	52.4876	1970.036	2545 King Street West		Toronto	ON	Ontario	M4B 1V7	False	Canada
43855	29946	278	6	407	10993.3516	1058.7224	330.8508	12382.9248	630 University Avenue		Toronto	ON	Ontario	M4B 1V7	False	Canada
43856	29680	282	6	407	2036.394	195.3874	61.0586	2292.84	Suite 25800 3401 - 10810th Avenue		Surrey	BC	British Columbia	V3T 4W3	False	Canada
43857	30074	282	6	407	7186.5371	689.052	215.3287	8090.9178	Depot 80		Sillery	QC	Quebec	G1T	False	Canada
43858	29961	275	2		13694.3494	1317.0672	411.5835	15423.0001	6900 William Richardson Ct.		South Bend	IN	Indiana	46601	False	United States
43859	29865	276	4		3911.5991	375.2443	117.2639	4404.1073	Simi @ The Plaza		Simi Valley	CA	California	93065	False	United States
43860	29773	280	1		10993.3942	1057.2843	330.4013	12381.0798	2251 Elliot Avenue		Seattle	WA	Washington	98104	False	United States
43861	29749	279	5		23401.1062	2244.4088	701.3777	26346.8927	Savannah Festival Outlet		Savannah	GA	Georgia	31401	False	United States
43862	29945	279	5		31000.7804	2987.8703	933.7095	34922.3602	9876 Fruitville Rd		Sarasota	FL	Florida	34236	False	United States
43863	29764	277	4		1718.8983	164.9658	51.5518	1935.4159	23025 S.W. Military Rd.		San Antonio	TX	Texas	78204	False	United States
43864	30056	276	4		38474.3572	3703.8969	1157.4678	43335.7219	San Diego Factory		San Ysidro	CA	California	92173	False	United States
